cod_item_material,cod_itemmaterial_ext,desc_material,desc_numero_itemmaterial,cod_unidade_medida,cod_classematerial
364,462,PINCEL TRINCHA TIGRE 12,8773.0,UN,2
365,464,"PORCA SEXT CARB 10MM P1,5",8774.0,UN,2
366,465,"PORCA SEXT CARB 12MM P1,75",8775.0,UN,2
367,466,PORCA SEXT CARB 16MM P2,8776.0,UN,2
368,467,PORCA SEXT CARB 316,8777.0,UN,2
369,468,PORCA SEXT CARB 4MM P2,8778.0,UN,2
370,469,PORCA SEXT CARB 516,8779.0,UN,2
371,470,"PORCA SEXT CARB M8 PASSO 1,25",8780.0,UN,2
372,471,"PORCA SEXT INOX 10MM P1,5",8781.0,UN,2
373,472,"PORCA SEXT INOX 12MM P1,75",8782.0,UN,2
374,473,REATOR ELETRON. LAMP. FLUOR. 2X40W 220V,8783.0,UN,2
375,474,"REBITE REPUXO ACOACO 6,4X25MM",8784.0,UN,2
376,475,REBITE CEGO TUB 4POL 30MM,8785.0,UN,2
377,476,RELE TEMP 2CO-DPDT FINDER 85.02,8786.0,UN,2
378,477,RELE TEMP 4CO-4PDT FINDER 85.04,8787.0,UN,2
379,478,RELE TERM. P MOTOR 13-18A TELEMECANIQUE,8788.0,UN,2
380,479,RELE,8789.0,UN,2
381,480,RELE TERM. P MOTOR 30-40A TELEMECANIQUE,8790.0,UN,2
382,481,REVELADOR BRANCO TIPO D 70,8791.0,UN,2
383,483,SILICA GEL SOL GRAN PEROL LR EM 1KG,8792.0,UN,2
384,484,SILICONE ALTA TEMP 12 B12 VERMELHO THREE,8793.0,UN,2
385,485,TARUGO BRONZE TM-23 500MMX1.12,8794.0,UN,2
386,486,TARUGO BRONZE TM-23 500MMX2,8795.0,UN,2
387,487,TARUGO PTFE 3POL 300MM,8796.0,UN,2
388,488,TE 90 GALV ROSC BSP 1 NBR6943,8797.0,UN,2
180,269,TERMINAL ISOL OLHAL 25MM FURO6MM AMAR,8589.0,UN,2
181,270,"TERMINAL ISOL. LUVA C. 1,5A2,5MM AZUL",8590.0,UN,2
182,271,TERMINAL ISOL. LUVA C. 4A6MM AMR,8591.0,UN,2
183,272,"TERMINAL OLHAL 10,5MM CABO 70MM2 SISOL",8592.0,UN,2
184,273,"TERMINAL SEM ISOL OLHAL 10,5MM CABO 95MM",8593.0,UN,2
185,274,"TERMINAL OLHAL 6,5MM CABO 10MM2 SISOL",8594.0,UN,2
186,275,"TERMINAL SEM ISOL OLHAL 6,5MM CABO 16MM2",8595.0,UN,2
187,276,"TERMINAL SEM ISOL. OLHAL 6,5MM C. 6MM2",8596.0,UN,2
188,277,"TERMINAL SEM ISOL OLHAL 8,5MM CABO 25MM2",8597.0,UN,2
189,278,"TERMINAL SEM ISOL. OLHAL 8,5MM C. 35MM2",8598.0,UN,2
190,279,"TERMINAL SEM ISOL. OLHAL 8,5MM C. 50MM2",8599.0,UN,2
191,280,TERMINAL SAPATA 1FURO C. 50A70MM2,8600.0,UN,2
192,281,TERMINAL SAPATA 1FURO C. 70A95MM2,8601.0,UN,2
193,282,TOMADA IND 200A250V 16A 2P+T,8602.0,UN,2
194,283,ACOPLAMENTO ENGRENAGENS G20 1015G,8603.0,UN,2
195,284,MANGUEIRA PVC AS P SUCCAO 2 100LBS,8604.0,UN,2
196,285,ABRACADEIRA ELETROD ACO GALV D1,8605.0,UN,2
197,286,ABRACADEIRA ELETROD SAE1020 GALV D1.12,8606.0,UN,2
198,287,ABRACADEIRA ELETROD SAE1020 GALV D12,8607.0,UN,2
199,288,ABRACADEIRA ELETROD ACO GALV D2,8608.0,UN,2
200,289,ABRACADEIRA ELETROD SAE1020 GALV D34,8609.0,UN,2
201,290,ABRACADEIRA ELETROD ACO GALV D2.12,8610.0,UN,2
202,292,ADESIVO BICOMP RESI EPOX PAST CX 2UN 10G,8611.0,UN,2
203,293,BARRA CHAT ACO CARB 12X2 ASTM A-36,8612.0,UN,2
207,297,BARRA QUADRADA ACO CARB 1 SAE 1045,8616.0,UN,2
204,294,BARRA CHAT ACO CARB 12X4 ASTM A-36,8613.0,UN,2
205,295,BARRA CHAT ACO CARB 14X2 ASTM A-36,8614.0,UN,2
206,296,BARRA CHAT ACO CARB 316X1 ASTM A-36,8615.0,UN,2
