cod_item_material,cod_grupo,data_grupo
1737,1,2025-03-13
130,1,2025-03-13
1739,1,2025-03-13
1738,1,2025-03-13
2405,1,2025-03-13
2162,2,2025-03-13
2263,3,2025-03-13
482,3,2025-03-13
2707,3,2025-03-13
1848,4,2025-03-13
483,4,2025-03-13
2680,5,2025-03-13
194,5,2025-03-13
484,5,2025-03-13
1954,5,2025-03-13
2591,5,2025-03-13
1955,5,2025-03-13
1749,5,2025-03-13
430,5,2025-03-13
2101,5,2025-03-13
2507,5,2025-03-13
1811,5,2025-03-13
2051,5,2025-03-13
2500,5,2025-03-13
1992,5,2025-03-13
2449,6,2025-03-13
2315,6,2025-03-13
2314,6,2025-03-13
486,6,2025-03-13
487,6,2025-03-13
2313,6,2025-03-13
2448,6,2025-03-13
1905,6,2025-03-13
2597,6,2025-03-13
2727,6,2025-03-13
2600,6,2025-03-13
1518,6,2025-03-13
2601,6,2025-03-13
2599,6,2025-03-13
2602,6,2025-03-13
2316,6,2025-03-13
2598,6,2025-03-13
2340,6,2025-03-13
2469,7,2025-03-13
464,7,2025-03-13
488,7,2025-03-13
489,7,2025-03-13
491,8,2025-03-13
490,8,2025-03-13
526,9,2025-03-13
523,9,2025-03-13
524,9,2025-03-13
522,9,2025-03-13
512,9,2025-03-13
521,9,2025-03-13
525,9,2025-03-13
520,9,2025-03-13
527,9,2025-03-13
513,9,2025-03-13
515,9,2025-03-13
516,9,2025-03-13
519,9,2025-03-13
2765,9,2025-03-13
2673,9,2025-03-13
518,9,2025-03-13
517,9,2025-03-13
514,9,2025-03-13
528,9,2025-03-13
2172,9,2025-03-13
511,9,2025-03-13
1559,9,2025-03-13
497,9,2025-03-13
496,9,2025-03-13
2672,9,2025-03-13
1653,9,2025-03-13
494,9,2025-03-13
495,9,2025-03-13
498,9,2025-03-13
971,9,2025-03-13
1687,9,2025-03-13
1692,9,2025-03-13
500,9,2025-03-13
501,9,2025-03-13
502,9,2025-03-13
499,9,2025-03-13
492,9,2025-03-13
509,9,2025-03-13
493,9,2025-03-13
2384,9,2025-03-13
2645,9,2025-03-13
510,9,2025-03-13
507,9,2025-03-13
508,9,2025-03-13
504,9,2025-03-13
503,9,2025-03-13
506,9,2025-03-13
505,9,2025-03-13
1476,10,2025-03-13
529,11,2025-03-13
539,12,2025-03-13
538,12,2025-03-13
540,12,2025-03-13
537,12,2025-03-13
2590,12,2025-03-13
535,12,2025-03-13
536,12,2025-03-13
534,12,2025-03-13
533,12,2025-03-13
3084,12,2025-03-13
532,12,2025-03-13
531,12,2025-03-13
530,12,2025-03-13
2965,12,2025-03-13
541,12,2025-03-13
543,12,2025-03-13
557,12,2025-03-13
544,12,2025-03-13
2814,12,2025-03-13
2815,12,2025-03-13
2816,12,2025-03-13
2836,12,2025-03-13
2784,12,2025-03-13
2368,12,2025-03-13
2426,12,2025-03-13
542,12,2025-03-13
560,12,2025-03-13
559,12,2025-03-13
558,12,2025-03-13
556,12,2025-03-13
3306,12,2025-03-13
550,12,2025-03-13
548,12,2025-03-13
549,12,2025-03-13
555,12,2025-03-13
546,12,2025-03-13
551,12,2025-03-13
545,12,2025-03-13
547,12,2025-03-13
552,12,2025-03-13
553,12,2025-03-13
554,12,2025-03-13
481,13,2025-03-13
562,14,2025-03-13
561,14,2025-03-13
1446,14,2025-03-13
2794,14,2025-03-13
1445,14,2025-03-13
2792,14,2025-03-13
563,15,2025-03-13
113,15,2025-03-13
564,15,2025-03-13
114,15,2025-03-13
2272,16,2025-03-13
2838,16,2025-03-13
206,16,2025-03-13
1527,16,2025-03-13
205,16,2025-03-13
204,16,2025-03-13
207,16,2025-03-13
2049,16,2025-03-13
203,16,2025-03-13
2269,16,2025-03-13
2704,16,2025-03-13
2654,16,2025-03-13
1585,16,2025-03-13
208,16,2025-03-13
3072,16,2025-03-13
573,16,2025-03-13
565,16,2025-03-13
566,16,2025-03-13
567,16,2025-03-13
569,16,2025-03-13
570,16,2025-03-13
